ID,Time,Type,X,Y,HitSound,Extra
2269930-0,32015,slider,333,308,0,P|364:308|384:294
2269930-0,32265,slider,237,253,0,P|223:302|233:357
2269930-0,32515,circle,344,209,10,
2269930-0,32640,slider,173,146,0,B|123:159|123:159|125:299
2269930-0,33015,slider,272,120,0,P|252:77|204:55
2269930-0,33265,circle,14,151,2,
2269930-0,33390,circle,189,167,0,
2269930-0,33515,slider,121,0,0,L|108:93
2269930-0,33765,circle,41,257,2,
2269930-0,33890,circle,209,185,0,
2269930-0,34015,slider,12,76,0,L|25:169
2269930-0,34265,slider,77,340,0,P|120:354|170:342
2269930-0,34515,circle,209,185,8,
2269930-0,34640,slider,395,326,0,P|312:352|241:301
2269930-0,35015,slider,119,192,0,L|222:183
2269930-0,35265,circle,386,237,2,
2269930-0,35390,circle,202,284,0,
2269930-0,35515,slider,242,95,0,P|286:120|306:165
2269930-0,35765,circle,309,313,2,
2269930-0,35890,circle,155,182,0,
2269930-0,36015,slider,386,237,0,L|396:141
2269930-0,36265,slider,292,8,0,L|281:108
2269930-0,36515,circle,395,250,10,
2269930-0,36640,slider,512,145,0,P|465:63|376:62
2269930-0,37015,slider,237,193,0,L|329:185
2269930-0,37265,circle,511,233,2,
2269930-0,37390,circle,393,78,0,
2269930-0,37515,slider,309,282,0,L|411:273
2269930-0,37765,circle,496,128,2,
2269930-0,37890,circle,318,184,0,
2269930-0,38015,slider,491,317,0,P|502:267|484:220
2269930-0,38265,slider,410,61,0,L|402:157
2269930-0,38515,circle,334,277,8,
2269930-0,38640,slider,285,107,0,B|177:75|215:147|94:120
2269930-0,39015,slider,25,29,0,P|67:12|122:24
2269930-0,39265,circle,242,222,10,
2269930-0,39390,circle,307,4,8,
2269930-0,39515,circle,233,256,8,
2269930-0,39640,circle,120,30,8,
2269930-0,39765,circle,362,154,6,
2269930-0,39890,circle,89,200,4,
2269930-0,40015,circle,391,149,4,
2269930-0,40140,circle,88,15,4,
2269930-0,40265,circle,248,280,4,
2269930-0,42265,slider,248,280,0,B|311:239|343:117|261:44|261:44|190:84|214:160
2269930-0,44265,circle,364,372,6,
2269930-0,44390,circle,252,135,0,
2269930-0,44515,slider,173,351,0,L|289:343
2269930-0,44765,circle,382,151,2,
2269930-0,44890,circle,131,264,0,
2269930-0,45015,slider,381,375,0,P|382:320|353:267
2269930-0,45265,circle,140,140,2,
2269930-0,45390,circle,271,344,0,
2269930-0,45515,circle,315,86,8,
2269930-0,45640,slider,101,261,0,L|226:246
2269930-0,45890,circle,393,160,0,
2269930-0,46015,slider,150,59,0,P|130:108|147:173
2269930-0,46265,circle,309,265,2,
2269930-0,46390,circle,397,40,0,
2269930-0,46515,slider,507,260,0,L|399:254
2269930-0,46765,circle,244,54,2,
2269930-0,46890,circle,511,116,0,
2269930-0,47015,circle,254,209,10,
2269930-0,47140,slider,395,13,0,L|400:115
2269930-0,47390,circle,339,291,2,
2269930-0,47515,circle,254,58,10,
2269930-0,47640,slider,229,351,0,L|224:252
2269930-0,47890,circle,128,60,0,
2269930-0,48015,slider,123,310,0,P|75:322|28:310
2269930-0,48265,slider,22,117,0,B|66:86|66:86|217:98
2269930-0,48640,circle,323,248,0,
2269930-0,48765,circle,102,188,2,
2269930-0,48890,circle,319,93,0,
2269930-0,49015,slider,215,298,0,L|210:181
2269930-0,49265,slider,107,9,0,L|111:107
2269930-0,49515,circle,310,248,10,
2269930-0,49640,circle,211,59,0,
2269930-0,49765,slider,119,239,0,L|20:243
2269930-0,50015,slider,262,146,0,L|360:141
2269930-0,50265,slider,457,334,0,L|251:344
2269930-0,50640,circle,112,217,0,
2269930-0,50765,circle,334,250,2,
2269930-0,50890,circle,129,352,0,
2269930-0,51015,slider,213,146,0,L|215:261
2269930-0,51265,slider,399,351,0,B|439:306|439:306|432:160
2269930-0,51640,circle,280,34,0,
2269930-0,51765,slider,488,76,0,L|385:74
2269930-0,52015,circle,243,223,10,
2269930-0,52140,circle,456,200,0,
2269930-0,52265,slider,301,0,0,P|279:65|311:152
2269930-0,52515,slider,343,206,0,P|355:257|342:304
2269930-0,52765,circle,213,149,0,
2269930-0,52890,circle,127,327,0,
2269930-0,53015,slider,35,158,0,L|134:156
2269930-0,53265,slider,240,321,0,P|205:286|189:240
2269930-0,53515,circle,232,81,10,
2269930-0,53640,slider,390,226,0,L|287:234
2269930-0,53890,circle,133,108,2,
2269930-0,54015,slider,321,38,0,P|347:86|341:145
2269930-0,54265,circle,218,338,10,
2269930-0,56262,slider,55,90,0,B|173:60|133:138|259:102
2269930-0,56637,circle,419,279,0,
2269930-0,56762,circle,158,214,2,
2269930-0,56887,circle,406,93,0,
2269930-0,57012,slider,269,316,0,L|265:218
2269930-0,57262,slider,457,13,0,B|505:57|505:57|500:197
2269930-0,57637,circle,483,344,0,
2269930-0,57762,slider,407,129,0,P|357:114|301:128
2269930-0,58012,circle,143,255,8,
2269930-0,58137,circle,374,237,0,
2269930-0,58262,slider,236,27,0,P|201:104|239:214
2269930-0,58637,circle,107,338,0,
2269930-0,58762,slider,114,132,0,P|66:120|18:130
2269930-0,59012,slider,196,308,0,P|244:317|297:297
2269930-0,59262,circle,426,71,2,
2269930-0,59387,circle,218,213,0,
2269930-0,59512,circle,496,215,10,
2269930-0,59637,slider,300,21,0,L|306:126
2269930-0,59887,circle,417,313,0,
2269930-0,60012,slider,508,75,0,P|461:63|407:76
2269930-0,60262,slider,306,269,0,B|230:273|230:273|193:238|193:238|112:242
2269930-0,60637,circle,63,39,0,
2269930-0,60762,slider,272,73,0,P|290:120|278:177
2269930-0,61012,slider,3,207,0,P|31:158|77:136
2269930-0,61262,slider,329,302,0,L|217:299
2269930-0,61512,circle,61,106,8,
2269930-0,61637,circle,298,198,0,
2269930-0,61762,slider,97,356,0,L|99:250
2269930-0,62012,circle,226,86,8,
2269930-0,62137,circle,218,329,0,
2269930-0,62262,slider,3,121,0,L|214:112
2269930-0,62637,slider,364,280,0,L|247:286
2269930-0,62887,circle,315,72,0,
2269930-0,63012,slider,461,225,0,P|477:276|465:328
2269930-0,63262,circle,175,150,2,
2269930-0,63387,circle,416,135,0,
2269930-0,63512,circle,242,21,10,
2269930-0,63637,slider,368,239,0,P|416:255|471:242
2269930-0,63887,circle,375,25,0,
2269930-0,64012,slider,262,201,0,L|267:314
2269930-0,64262,circle,417,131,6,
2269930-0,64387,circle,134,72,0,
2269930-0,64512,circle,447,140,10,
2269930-0,64637,circle,161,210,0,
2269930-0,64762,slider,294,5,0,L|297:105
2269930-0,65012,circle,291,297,8,
2269930-0,65137,slider,417,57,0,L|410:264
2269930-0,65512,slider,212,144,0,P|263:134|316:145
2269930-0,65762,circle,392,351,2,
2269930-0,65887,circle,501,127,0,
2269930-0,66012,circle,260,243,10,
2269930-0,66137,slider,507,355,0,P|494:295|352:238
2269930-0,66512,slider,406,27,0,L|414:128
2269930-0,66762,circle,247,308,2,
2269930-0,66887,circle,301,67,0,
2269930-0,67012,slider,347,353,0,L|354:253
2269930-0,67262,slider,204,18,0,L|200:118
2269930-0,67512,slider,36,257,0,P|48:199|85:161
2269930-0,67762,slider,230,350,0,P|173:368|122:355
2269930-0,68012,slider,214,136,0,P|258:175|272:226
2269930-0,68262,slider,465,70,0,B|324:53|324:53|360:75|373:107
2269930-0,68887,circle,225,236,0,
2269930-0,69012,slider,225,24,0,L|232:131
2269930-0,69262,slider,412,274,0,P|459:285|507:273
2269930-0,69512,circle,314,53,10,
2269930-0,69637,circle,200,286,0,
2269930-0,69762,circle,458,185,2,
2269930-0,69887,circle,187,111,0,
2269930-0,70012,slider,308,347,0,L|312:249
2269930-0,70262,circle,89,24,10,
2269930-0,70387,circle,175,328,0,
2269930-0,70512,circle,285,19,10,
2269930-0,70637,circle,175,353,0,
2269930-0,70762,circle,469,68,10,
2269930-0,70887,circle,45,142,0,
2269930-0,71012,circle,474,223,10,
2269930-0,71137,circle,25,142,0,
2269930-0,71262,circle,342,371,8,
2269930-0,71387,circle,245,14,8,
2269930-0,71512,slider,115,377,0,L|225:374
2269930-0,71762,circle,496,117,8,
2269930-0,71887,circle,14,245,8,
2269930-0,72012,circle,498,245,8,
2269930-0,72137,circle,17,122,8,
2269930-0,72262,slider,446,83,0,B|449:19|374:10|374:10|346:58|382:138|493:149|493:149|411:161|379:231|379:231|460:210|512:250|520:318|481:358|415:359|404:322|413:295
2269930-0,76324,spinner,256,192,0,79762
2269930-1,8262,slider,127,186,0,P|70:166|10:183
2269930-1,9273,circle,187,238,2,
2269930-1,9783,circle,297,363,2,
2269930-1,10274,slider,445,295,0,L|458:174
2269930-1,11002,circle,485,63,2,
2269930-1,11259,slider,404,69,0,P|367:79|327:69
2269930-1,11774,slider,270,10,0,P|232:0|192:10
2269930-1,12289,slider,125,64,0,L|3:48
2269930-1,13252,circle,162,136,2,
2269930-1,13778,circle,285,19,2,
2269930-1,14280,slider,448,51,0,L|457:133
2269930-1,14645,slider,467,170,0,B|492:208|492:208|483:282
2269930-1,15255,circle,457,356,2,
2269930-1,15511,circle,380,328,2,
2269930-1,15767,slider,307,363,0,P|270:373|230:363
2269930-1,16280,slider,149,334,0,L|29:347
2269930-1,19509,circle,28,347,2,
2269930-1,19756,slider,7,268,0,L|15:188
2269930-1,20250,slider,49,109,0,P|104:90|163:107
2269930-1,23240,circle,163,107,2,
2269930-1,24265,slider,419,346,0,L|429:259
2269930-1,24640,slider,441,220,0,L|430:133
2269930-1,25015,circle,424,92,2,
2269930-1,25265,slider,362,32,0,P|323:19|281:31
2269930-1,25765,slider,196,27,0,P|183:65|195:107
2269930-1,26265,slider,243,179,0,L|329:168
2269930-1,26640,slider,363,143,0,L|449:153
2269930-1,27015,circle,489,160,2,
2269930-1,27265,slider,506,243,0,L|495:329
2269930-1,27640,slider,481,368,0,B|433:361|433:361|402:380|402:380|355:375
2269930-1,28265,slider,298,314,0,L|211:324
2269930-1,28640,slider,171,333,0,P|132:346|90:334
2269930-1,29015,circle,50,318,2,
2269930-1,29265,slider,9,242,0,L|20:156
2269930-1,29765,slider,32,72,0,L|118:83
2269930-1,30265,slider,198,110,0,P|211:149|199:191
2269930-1,30640,slider,189,232,0,L|199:319
2269930-1,31015,circle,205,359,2,
2269930-1,31265,circle,281,321,2,
2269930-1,31765,circle,446,363,2,
2269930-1,32265,circle,488,198,2,
2269930-1,32515,circle,455,124,10,
2269930-1,32640,slider,455,124,0,B|407:117|407:117|376:136|376:136|329:131
2269930-1,33265,slider,249,111,0,P|208:122|168:109
2269930-1,33765,slider,102,54,0,L|15:64
2269930-1,34265,circle,29,149,2,
2269930-1,34515,circle,8,234,8,
2269930-1,34640,slider,8,234,0,P|-11:292|6:355
2269930-1,35265,slider,84,321,0,L|171:331
2269930-1,35765,slider,242,374,0,L|329:364
2269930-1,36265,circle,399,318,2,
2269930-1,36515,circle,358,248,10,
2269930-1,36640,slider,358,248,0,B|315:219|315:219|234:229
2269930-1,37265,slider,162,267,0,P|123:280|81:268
2269930-1,37765,slider,8,222,0,L|18:135
2269930-1,38265,circle,86,85,2,
2269930-1,38515,circle,163,132,8,
2269930-1,38640,slider,163,132,0,L|291:117
2269930-1,39265,slider,359,65,0,L|446:75
2269930-1,39765,slider,498,140,0,L|493:183
2269930-1,40015,slider,489,225,0,L|445:220
2269930-1,40265,circle,406,213,4,
2269930-1,44265,circle,269,314,6,
2269930-1,44515,circle,184,282,10,
2269930-1,44765,slider,124,349,0,P|81:363|36:350
2269930-1,45265,circle,6,267,2,
2269930-1,45515,circle,53,192,8,
2269930-1,45640,slider,53,192,0,L|42:102
2269930-1,46015,circle,38,57,10,
2269930-1,46265,slider,120,21,0,P|162:6|207:19
2269930-1,46765,circle,280,66,2,
2269930-1,47015,circle,225,138,10,
2269930-1,47140,slider,225,138,0,B|178:169|178:169|90:158
2269930-1,47640,slider,54,157,0,L|43:246
2269930-1,48015,circle,36,291,10,
2269930-1,48265,circle,92,360,6,
2269930-1,48515,circle,170,316,8,
2269930-1,48765,slider,244,366,0,P|286:380|331:367
2269930-1,49140,slider,367,345,0,L|501:360
2269930-1,49765,circle,486,271,2,
2269930-1,50015,slider,508,183,0,B|442:173|442:173|400:199|400:199|336:192
2269930-1,50765,circle,255,153,2,
2269930-1,51015,circle,196,222,10,
2269930-1,51140,slider,196,222,0,L|106:232
2269930-1,51515,circle,61,235,10,
2269930-1,51765,slider,9,161,0,P|-5:118|7:73
2269930-1,52265,slider,89,41,0,B|138:43|167:7|167:7|196:43|246:41
2269930-1,53015,circle,316,99,10,
2269930-1,53265,slider,265,173,0,L|254:263
2269930-1,53640,slider,247,307,0,P|203:317|161:303
2269930-1,54015,circle,118,290,10,
2269930-1,54265,circle,52,351,10,
2269930-1,56262,slider,52,351,0,L|41:261
2269930-1,56637,slider,27,218,0,L|38:128
2269930-1,57012,circle,45,83,10,
2269930-1,57262,slider,106,17,0,P|149:6|191:20
2269930-1,57762,slider,258,79,0,L|348:68
2269930-1,58262,slider,426,23,0,L|437:113
2269930-1,58762,circle,502,174,2,
2269930-1,59012,circle,476,260,10,
2269930-1,59262,circle,389,233,2,
2269930-1,59512,circle,354,318,10,
2269930-1,59637,slider,354,318,0,B|320:312|320:312|300:326|300:326|268:322
2269930-1,60012,circle,223,318,10,
2269930-1,60262,slider,151,372,0,P|107:382|65:368
2269930-1,60637,circle,28,354,0,
2269930-1,60762,slider,28,354,0,L|17:264
2269930-1,61262,slider,34,175,0,L|124:164
2269930-1,61637,circle,172,164,0,
2269930-1,61762,slider,172,164,0,L|183:254
2269930-1,62262,circle,219,336,0,
2269930-1,62512,slider,297,292,0,B|344:261|344:261|432:272
2269930-1,63012,circle,466,278,8,
2269930-1,63262,slider,505,197,0,L|494:107
2269930-1,63637,slider,484,63,0,P|440:52|398:66
2269930-1,64012,circle,362,92,10,
2269930-1,64262,circle,311,17,6,
2269930-1,64512,circle,227,49,10,
2269930-1,64762,slider,146,8,0,L|56:19
2269930-1,65137,slider,11,21,0,B|18:70|18:70|0:101|0:101|4:149
2269930-1,65762,circle,21,239,2,
2269930-1,66012,circle,5,332,10,
2269930-1,66137,slider,5,332,0,P|71:348|137:326
2269930-1,66762,circle,203,271,2,
2269930-1,67012,circle,258,348,10,
2269930-1,67137,slider,258,348,0,P|321:328|386:344
2269930-1,67762,slider,474,363,0,L|485:273
2269930-1,68262,circle,435,197,6,
2269930-1,68512,slider,359,247,0,L|224:230
2269930-1,69012,circle,180,225,8,
2269930-1,69262,slider,115,287,0,P|71:298|29:284
2269930-1,69762,slider,1,198,0,L|12:108
2269930-1,70262,circle,78,47,10,
2269930-1,70512,circle,160,82,10,
2269930-1,70762,circle,242,47,10,
2269930-1,71012,circle,276,129,10,
2269930-1,71262,slider,221,198,0,L|176:192
2269930-1,71762,circle,260,284,8,
2269930-1,71887,slider,260,284,0,L|305:289
2269930-1,72262,circle,222,309,6,
2269930-1,72387,spinner,256,192,2,76262
2269930-2,8262,slider,96,132,0,P|149:123|203:116
2269930-2,8643,slider,282,97,0,P|302:146|288:197
2269930-2,9021,circle,212,230,2,
2269930-2,9273,slider,285,343,0,P|338:334|392:327
2269930-2,9655,circle,475,350,0,
2269930-2,9783,slider,475,350,0,P|466:296|459:242
2269930-2,10274,slider,332,132,0,P|340:185|347:239
2269930-2,10638,slider,284,291,0,P|234:311|183:298
2269930-2,11002,circle,127,237,2,
2269930-2,11259,slider,2,269,0,P|10:322|17:376
2269930-2,12289,slider,95,142,0,P|148:135|202:126
2269930-2,12650,slider,250,198,0,P|303:189|357:182
2269930-2,13011,circle,419,130,2,
2269930-2,13252,slider,260,42,0,P|209:24|159:41
2269930-2,13646,circle,86,74,0,
2269930-2,13778,slider,86,74,0,P|94:127|101:181
2269930-2,14280,slider,30,336,0,P|83:327|137:320
2269930-2,14645,slider,207,361,0,P|260:352|314:345
2269930-2,15011,circle,381,301,2,
2269930-2,15255,slider,303,191,0,P|294:137|287:83
2269930-2,16024,slider,204,260,0,P|177:255|150:251
2269930-2,16280,slider,68,263,0,P|46:214|59:162
2269930-2,16650,circle,113,99,2,
2269930-2,16897,circle,244,139,0,
2269930-2,17020,slider,244,139,0,P|270:134|297:130
2269930-2,17267,slider,380,151,0,P|401:102|388:50
2269930-2,18023,circle,284,217,2,
2269930-2,18275,slider,158,123,0,P|104:131|50:138
2269930-2,18645,slider,0,204,0,P|8:257|15:311
2269930-2,19015,circle,79,363,2,
2269930-2,19262,slider,239,324,0,P|260:275|247:223
2269930-2,19633,circle,204,147,0,
2269930-2,19756,slider,204,147,0,P|150:155|96:162
2269930-2,20126,circle,28,211,2,
2269930-2,20250,slider,0,133,0,P|6:79|15:25
2269930-2,20641,slider,103,17,0,P|94:70|87:124
2269930-2,21014,circle,115,201,2,
2269930-2,21263,slider,237,126,0,P|285:104|337:117
2269930-2,21661,circle,409,162,0,
2269930-2,21793,slider,409,162,0,P|400:215|393:269
2269930-2,22280,slider,268,348,0,P|214:339|160:332
2269930-2,22640,slider,84,351,0,P|62:302|75:250
2269930-2,23000,circle,137,193,2,
2269930-2,23240,circle,339,256,2,
2269930-2,24265,slider,339,256,0,P|365:201|351:141
2269930-2,24640,circle,296,79,2,
2269930-2,24765,slider,296,79,0,P|265:84|234:88
2269930-2,25015,circle,162,47,2,
2269930-2,25265,slider,19,139,0,P|29:200|37:261
2269930-2,25640,circle,75,336,0,
2269930-2,25765,slider,157,301,0,P|146:239|138:178
2269930-2,26140,circle,191,115,0,
2269930-2,26265,slider,279,184,0,P|337:202|393:180
2269930-2,26640,slider,482,163,0,P|471:224|463:285
2269930-2,27015,circle,403,342,2,
2269930-2,27265,slider,260,287,0,P|229:292|198:296
2269930-2,27515,circle,155,362,2,
2269930-2,27640,slider,155,362,0,P|93:351|32:343
2269930-2,28015,slider,0,267,0,P|5:236|9:205
2269930-2,28265,slider,82,130,0,P|138:107|196:125
2269930-2,28640,slider,243,196,0,P|304:185|365:177
2269930-2,29015,circle,434,227,2,
2269930-2,29265,slider,511,72,0,P|449:82|388:90
2269930-2,29640,circle,323,35,0,
2269930-2,29765,slider,323,35,0,P|292:40|261:44
2269930-2,30015,slider,141,22,0,P|146:52|150:83
2269930-2,30265,slider,220,125,0,P|209:186|201:247
2269930-2,30640,circle,145,307,2,
2269930-2,30765,slider,145,307,0,P|88:329|30:311
2269930-2,31265,circle,87,198,2,
2269930-2,31515,circle,87,198,0,
2269930-2,31765,circle,172,107,2,
2269930-2,32015,circle,172,107,0,
2269930-2,32265,slider,263,241,0,B|343:229|302:191|403:175
2269930-2,32640,slider,467,264,0,P|432:268|397:273
2269930-2,32890,circle,330,327,0,
2269930-2,33015,circle,263,241,10,
2269930-2,33265,slider,131,346,0,P|125:311|121:276
2269930-2,33515,slider,44,349,0,P|38:314|34:279
2269930-2,33765,slider,62,135,0,P|67:169|71:204
2269930-2,34015,slider,149,132,0,P|154:166|158:201
2269930-2,34265,slider,288,274,0,P|321:242|426:255
2269930-2,34640,slider,489,147,0,P|454:151|419:156
2269930-2,34890,circle,357,95,0,
2269930-2,35015,slider,279,147,0,P|274:112|270:78
2269930-2,35265,slider,145,34,0,P|149:68|154:103
2269930-2,35515,circle,77,136,10,
2269930-2,35640,circle,77,136,0,
2269930-2,35765,slider,144,223,0,P|178:218|213:213
2269930-2,36015,circle,279,147,10,
2269930-2,36140,circle,333,226,0,
2269930-2,36265,slider,450,197,0,P|482:256|460:321
2269930-2,36640,slider,393,369,0,P|358:364|323:358
2269930-2,36890,circle,235,298,0,
2269930-2,37015,slider,160,369,0,P|155:334|149:299
2269930-2,37265,slider,4,197,0,B|22:211|39:230|39:230|100:240|126:178
2269930-2,37640,circle,157,124,0,
2269930-2,37765,slider,281,168,0,B|293:88|331:129|347:28
2269930-2,38265,slider,124,17,0,B|24:30|24:30|48:43|66:60
2269930-2,38640,slider,157,124,0,P|151:158|146:193
2269930-2,38890,circle,84,241,0,
2269930-2,39015,slider,0,230,0,P|5:264|10:299
2269930-2,39265,circle,155,357,10,
2269930-2,39390,circle,155,357,8,
2269930-2,39515,slider,266,263,0,P|231:267|196:273
2269930-2,39765,slider,344,329,0,P|378:323|413:318
2269930-2,40015,circle,481,252,4,
2269930-2,40140,circle,481,252,4,
2269930-2,40265,circle,376,157,4,
2269930-2,40327,spinner,256,192,0,43765
2269930-2,44265,slider,227,159,0,P|232:120|238:82
2269930-2,44515,slider,139,43,0,P|133:81|127:119
2269930-2,44765,circle,30,168,2,
2269930-2,44890,circle,30,168,0,
2269930-2,45015,slider,64,261,0,P|102:255|140:249
2269930-2,45265,slider,227,159,0,P|285:205|359:190
2269930-2,45640,slider,470,144,0,P|464:182|458:220
2269930-2,45890,circle,389,279,0,
2269930-2,46015,slider,308,368,0,P|302:329|296:291
2269930-2,46265,circle,227,159,2,
2269930-2,46390,circle,227,159,0,
2269930-2,46515,slider,152,220,0,P|113:225|75:231
2269930-2,46765,slider,0,118,0,P|38:112|76:106
2269930-2,47015,circle,138,45,10,
2269930-2,47140,slider,227,159,0,B|310:154|284:104|393:101
2269930-2,47515,circle,512,156,10,
2269930-2,47640,slider,463,24,0,P|457:62|451:100
2269930-2,47890,circle,368,196,0,
2269930-2,48015,slider,368,196,0,P|373:234|379:272
2269930-2,48265,slider,227,159,0,B|137:124|137:124|114:146|95:165
2269930-2,48640,circle,24,255,0,
2269930-2,48765,slider,118,324,0,P|133:294|120:242
2269930-2,49015,circle,95,165,10,
2269930-2,49140,slider,215,203,0,P|304:182|379:167
2269930-2,49515,slider,488,218,0,P|493:179|499:141
2269930-2,49765,circle,405,261,2,
2269930-2,49890,circle,405,261,0,
2269930-2,50015,slider,512,334,0,P|473:339|435:345
2269930-2,50265,slider,285,288,0,P|238:228|256:156
2269930-2,50640,circle,382,63,0,
2269930-2,50765,slider,313,8,0,P|274:13|236:19
2269930-2,51015,circle,78,103,10,
2269930-2,51140,slider,145,162,0,B|190:139|180:79|180:79|158:62|142:34
2269930-2,51515,slider,2,148,0,P|7:186|13:224
2269930-2,51765,slider,108,265,0,P|102:303|96:341
2269930-2,52015,slider,219,136,0,P|224:174|230:212
2269930-2,52265,slider,435,320,0,P|375:273|303:291
2269930-2,52640,circle,228,355,0,
2269930-2,52765,slider,108,265,0,P|69:270|31:276
2269930-2,53015,slider,189,182,0,P|150:176|112:170
2269930-2,53265,slider,303,291,0,B|385:277|354:231|462:215
2269930-2,53640,slider,299,184,0,P|293:145|287:107
2269930-2,53890,circle,353,45,2,
2269930-2,54015,circle,465,132,10,
2269930-2,54140,circle,465,132,0,
2269930-2,54265,circle,271,81,10,
2269930-2,56262,slider,271,81,0,B|244:58|228:38|228:38|155:21|124:97
2269930-2,56637,circle,56,162,0,
2269930-2,56762,slider,189,225,0,P|204:185|198:143
2269930-2,57012,circle,91,267,10,
2269930-2,57137,circle,91,267,0,
2269930-2,57262,slider,273,337,0,B|370:326|314:266|431:252
2269930-2,57637,circle,329,191,0,
2269930-2,57762,slider,499,285,0,P|515:211|493:119
2269930-2,58137,circle,433,45,0,
2269930-2,58262,slider,329,191,0,B|231:180|287:120|170:106
2269930-2,58637,circle,54,172,0,
2269930-2,58762,slider,131,272,0,P|137:229|143:187
2269930-2,59012,slider,244,333,0,P|237:290|231:248
2269930-2,59262,circle,334,101,2,
2269930-2,59387,circle,416,215,0,
2269930-2,59512,circle,254,160,10,
2269930-2,59637,slider,445,36,0,P|438:78|432:120
2269930-2,59887,circle,312,254,0,
2269930-2,60012,slider,467,329,0,P|424:335|382:341
